epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6094,1.6455,2.16118,2.62046,1.18353,0.68638,0.73395,0.78305,0.54629,0.68638,0.73395,0.77823,0.45613,1.1985,0.65408,1.61022,0.99735,0.0701974,0.0033114,0.0033114
2,90.9496,1.34877,1.54846,1.40079,1.0439,0.78523,0.78758,0.91168,0.60922,0.7709,0.76206,0.8797,0.44032,1.20306,0.79813,1.20552,0.98417,0.0401316,0.00657895,0.00657895
3,126.837,1.31799,1.50539,1.30149,1.03415,0.66816,0.79039,0.91763,0.61261,0.66408,0.78699,0.91132,0.51918,1.29163,0.4922,1.38722,1.0062,0.0099998,0.0097805,0.0097805
4,162.866,1.33635,1.44881,1.19758,1.03208,0.93426,0.93987,0.97588,0.6543,0.93426,0.93987,0.97588,0.64884,1.19755,0.61033,0.91601,0.99472,0.009703,0.009703,0.009703
5,198.596,1.28777,1.40081,0.9794,1.02142,0.94577,0.94833,0.97767,0.71961,0.94577,0.94833,0.97767,0.62006,0.96449,0.58789,0.835,0.95712,0.009604,0.009604,0.009604
6,234.913,1.29672,1.37533,0.86501,1.02706,0.9459,0.95113,0.98192,0.71089,0.94169,0.94784,0.97646,0.61481,1.0813,0.88134,0.69913,0.99179,0.009505,0.009505,0.009505
7,270.821,1.24012,1.33719,0.85223,1.01178,0.96762,0.95009,0.9818,0.72986,0.96655,0.94901,0.98081,0.63497,0.94255,0.59687,0.65454,0.94401,0.009406,0.009406,0.009406
8,307.052,1.23903,1.29003,0.76543,1.01191,0.97977,0.96751,0.98415,0.75181,0.97977,0.96751,0.98415,0.6229,0.90854,0.55274,0.59167,0.93647,0.009307,0.009307,0.009307
9,342.438,1.19376,1.27699,0.71907,0.99979,0.95957,0.96781,0.98864,0.74085,0.95957,0.96781,0.98864,0.72916,0.96093,0.64741,0.60114,0.94123,0.009208,0.009208,0.009208
10,378.489,1.17799,1.28829,0.71197,0.98272,0.95624,0.98762,0.98444,0.75946,0.95624,0.98762,0.98444,0.59174,0.87273,0.5206,0.54644,0.92808,0.009109,0.009109,0.009109
11,414.158,1.16628,1.26138,0.69632,0.99429,0.97628,0.98911,0.98668,0.75649,0.97628,0.98911,0.98668,0.60945,0.89758,0.51291,0.5253,0.92275,0.00901,0.00901,0.00901
12,449.658,1.15322,1.25028,0.68471,0.99554,0.95701,0.98381,0.98311,0.73017,0.95701,0.98381,0.98311,0.64818,0.99879,0.55404,0.57206,0.94689,0.008911,0.008911,0.008911
13,488.269,1.11054,1.24952,0.68338,0.96723,0.9727,0.97827,0.98692,0.73696,0.9727,0.97827,0.98692,0.58368,0.90938,0.52295,0.58198,0.9278,0.008812,0.008812,0.008812
14,525.184,1.10091,1.19145,0.64757,0.98105,0.97524,0.99284,0.98756,0.73999,0.97524,0.99284,0.98756,0.71574,1.01912,0.59266,0.52,0.95098,0.008713,0.008713,0.008713
15,563.926,1.1079,1.20559,0.63148,0.97742,0.97563,0.98047,0.98415,0.74305,0.97563,0.98047,0.98415,0.67238,0.99674,0.54629,0.5244,0.94347,0.008614,0.008614,0.008614
16,600.464,1.09825,1.24211,0.61582,0.96479,0.9849,0.98936,0.98826,0.77296,0.9849,0.98936,0.98826,0.60983,0.86956,0.58895,0.47211,0.92393,0.008515,0.008515,0.008515
17,636.638,1.08078,1.24374,0.61867,0.9704,0.97776,0.98868,0.9859,0.77014,0.97776,0.98868,0.9859,0.62467,0.82992,0.47899,0.50395,0.9122,0.008416,0.008416,0.008416
18,675.269,1.09582,1.23223,0.61724,0.96399,0.95183,0.99151,0.98846,0.75143,0.95183,0.99151,0.98846,0.60855,0.91973,0.44654,0.51339,0.92969,0.008317,0.008317,0.008317
19,713.891,1.06406,1.1939,0.62052,0.96308,0.97892,0.97968,0.98827,0.7738,0.97892,0.97968,0.98827,0.61776,0.89015,0.62307,0.4905,0.92747,0.008218,0.008218,0.008218
20,752.384,1.05731,1.21361,0.58141,0.96025,0.96347,0.99089,0.98558,0.77369,0.96347,0.99089,0.98558,0.6423,0.85847,0.55502,0.4596,0.91969,0.008119,0.008119,0.008119
21,789.767,1.04889,1.17567,0.60067,0.96659,0.97607,0.97952,0.98539,0.7732,0.97607,0.97952,0.98539,0.65669,0.87881,0.48534,0.46624,0.92374,0.00802,0.00802,0.00802
22,826.664,1.08179,1.18534,0.60733,0.97166,0.9807,0.98314,0.98599,0.76223,0.9807,0.98314,0.98599,0.65544,0.90664,0.49271,0.46574,0.93531,0.007921,0.007921,0.007921
23,863.226,1.04201,1.18192,0.58896,0.95812,0.97897,0.98097,0.98815,0.76298,0.97897,0.98097,0.98815,0.65636,0.85643,0.48174,0.48175,0.92065,0.007822,0.007822,0.007822
24,901.074,1.03116,1.14769,0.57011,0.95866,0.97733,0.98112,0.99036,0.77279,0.97733,0.98112,0.99036,0.64262,0.84808,0.57969,0.43965,0.91732,0.007723,0.007723,0.007723
25,936.656,1.0142,1.14012,0.55658,0.95181,0.98498,0.98811,0.98854,0.77113,0.98498,0.98811,0.98854,0.68311,0.84015,0.58611,0.4343,0.91948,0.007624,0.007624,0.007624
26,972.38,1.00598,1.08566,0.55867,0.95053,0.97294,0.9868,0.98672,0.78573,0.97294,0.9868,0.98672,0.6124,0.80853,0.51567,0.43752,0.91556,0.007525,0.007525,0.007525
27,1008.9,1.01025,1.144,0.5604,0.95609,0.97136,0.98314,0.98729,0.77693,0.97136,0.98314,0.98729,0.65993,0.80072,0.48536,0.43977,0.90466,0.007426,0.007426,0.007426
28,1044.42,1.00796,1.10584,0.56666,0.94923,0.97755,0.98328,0.9887,0.77645,0.97755,0.98328,0.9887,0.63817,0.84144,0.50058,0.45292,0.91123,0.007327,0.007327,0.007327
